clone	slug	release_tag	asset_name	asset_size	asset_url
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v24b	ps4-linux-payloads-v24b.zip\t357791\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v24b/ps4-linux-payloads-v24b.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v24	ps4-linux-payloads-v24.zip\t336259\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v24/ps4-linux-payloads-v24.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v23	ps4-linux-payloads-v23.zip\t5318474\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v23/ps4-linux-payloads-v23.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v22	ps4-linux-payloads-v22.zip\t7511048\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v22/ps4-linux-payloads-v22.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v21.5	PS4-Linux-Payloads-v21.5.zip\t5298916\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v21.5/PS4-Linux-Payloads-v21.5.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v21	PS4-Linux-Payloads.zip\t5335468\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v21/PS4-Linux-Payloads.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v20	PS4-Linux-Payloads.zip\t4624006\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v20/PS4-Linux-Payloads.zip		
ps4dev__elf-loader	ps4dev/elf-loader	v1.0.0			
ps4dev__ps4sdk	ps4dev/ps4sdk	v1.0.0			
sthetix__PS4-Payload-Loader	sthetix/PS4-Payload-Loader	1.0	ps4payloadloader.bin\t4173824\thttps://github.com/sthetix/PS4-Payload-Loader/releases/download/1.0/ps4payloadloader.bin		
